Date	Time	DischargeW
4/10/2018	0:00	1480
4/10/2018	0:15	1450
4/10/2018	0:30	1430
4/10/2018	0:45	1410
4/10/2018	1:00	1390
4/10/2018	1:15	1370
4/10/2018	1:30	1360
4/10/2018	1:45	1350
4/10/2018	2:00	1350
4/10/2018	2:15	1350
4/10/2018	2:30	1360
4/10/2018	2:45	1360
4/10/2018	3:00	1380
4/10/2018	3:15	1380
4/10/2018	3:30	1390
4/10/2018	3:45	1410
4/10/2018	4:00	1420
4/10/2018	4:15	1420
4/10/2018	4:30	1420
4/10/2018	4:45	1430
4/10/2018	5:00	1430
4/10/2018	5:15	1430
4/10/2018	5:30	1420
4/10/2018	5:45	1420
4/10/2018	6:00	1420
4/10/2018	6:15	1420
4/10/2018	6:30	1410
4/10/2018	6:45	1410
4/10/2018	7:00	1420
4/10/2018	7:15	1410
4/10/2018	7:30	1390
4/10/2018	7:45	1390
4/10/2018	8:00	1390
4/10/2018	8:15	1410
4/10/2018	8:30	1410
4/10/2018	8:45	1420
4/10/2018	9:00	1430
4/10/2018	9:15	1430
4/10/2018	9:30	1450
4/10/2018	9:45	1470
4/10/2018	10:00	1480
4/10/2018	10:15	1480
4/10/2018	10:30	1480
4/10/2018	10:45	1480
4/10/2018	11:00	1480
4/10/2018	11:15	1480
4/10/2018	11:30	1490
4/10/2018	11:45	1500
4/10/2018	12:00	1520
4/10/2018	12:15	1540
4/10/2018	12:30	1550
4/10/2018	12:45	1580
4/10/2018	13:00	1590
4/10/2018	13:15	1590
4/10/2018	13:30	1610
4/10/2018	13:45	1590
4/10/2018	14:00	1610
4/10/2018	14:15	1610
4/10/2018	14:30	1590
4/10/2018	14:45	1570
4/10/2018	15:00	1570
4/10/2018	15:15	1550
4/10/2018	15:30	1530
4/10/2018	15:45	1530
4/10/2018	16:00	1500
4/10/2018	16:15	1490
4/10/2018	16:30	1480
4/10/2018	16:45	1470
4/10/2018	17:00	1450
4/10/2018	17:15	1450
4/10/2018	17:30	1450
4/10/2018	17:45	1450
4/10/2018	18:00	1470
4/10/2018	18:15	1470
4/10/2018	18:30	1470
4/10/2018	18:45	1480
4/10/2018	19:00	1470
4/10/2018	19:15	1450
4/10/2018	19:30	1450
4/10/2018	19:45	1450
4/10/2018	20:00	1440
4/10/2018	20:15	1440
4/10/2018	20:30	1430
4/10/2018	20:45	1430
4/10/2018	21:00	1420
4/10/2018	21:15	1420
4/10/2018	21:30	1420
4/10/2018	21:45	1430
4/10/2018	22:00	1420
4/10/2018	22:15	1410
4/10/2018	22:30	1390
4/10/2018	22:45	1380
4/10/2018	23:00	1380
4/10/2018	23:15	1370
4/10/2018	23:30	1370
4/10/2018	23:45	1360
